,name,rating,number of review,about
219,Paras Hospital,4.7,2.2k,Healthcare | 5k-10k Employees | 17 years old | Gurgaon/Gurugram +35 more
220,Shoppers Stop,4.2,2.2k,Retail | 5k-10k Employees | Public | 32 years old | Mumbai +59 more
221,Jindal Steel and Power,3.9,2.1k,Iron & Steel | 5k-10k Employees | Fortune India 500 | 44 years old | Delhi/NCR +97 more
222,Berger Paints,3.7,2.1k,Chemicals | 1k-5k Employees | Public | 100 years old | Kolkata +207 more
223,Aakash Educational Services,3.6,2.1k,EdTech | 10k-50k Employees | 35 years old | New Delhi +186 more
224,Ceat Tyres,4.0,2.1k,Auto Components | 5k-10k Employees | Public | 65 years old | Mumbai +98 more
225,HDFC Ergo General Insurance,4.0,2.1k,Insurance | 5k-10k Employees | Public | 21 years old | Mumbai +205 more
226,Escorts Kubota Limited,4.1,2.1k,Automobile | 10k-50k Employees | Public | 63 years old | Faridabad +117 more
227,RBL Bank,3.7,2.1k,Banking | 1k-5k Employees | Public | 80 years old | Mumbai +192 more
228,Dabur,3.8,2.1k,FMCG | 5k-10k Employees | Public | 139 years old | Ghaziabad +219 more
229,PolicyBazaar,3.5,2.1k,FinTech | 5k-10k Employees | Public | 15 years old | Gurgaon +60 more
230,RSPL Group,4.1,2.1k,FMCG | 1k-5k Employees | 36 years old | Mumbai +163 more
231,Indian Oil Corporation,4.4,2.1k,Oil & Gas | 10k-50k Employees | Fortune India 500 | 64 years old | Delhi/NCR +217 more
232,Utkarsh Small Finance Bank,3.9,2.1k,Banking | 10k-50k Employees | Public | 14 years old | Varanasi +268 more
233,Kotak Mahindara Life Insurance,3.8,2.1k,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +187 more
234,PNB MetLife,3.5,2.1k,Insurance | 5k-10k Employees | Conglomerate | 22 years old | Mumbai +291 more
235,Cogent E Services,3.4,2.1k,BPO | 10k-50k Employees | Conglomerate | 19 years old | Noida +31 more
236,Carelon Global Solutions,4.0,2.1k,Hyderabad/Secunderabad +9 more
237,GeBBS Healthcare Solutions,3.8,2.1k,BPO | 5k-10k Employees | 18 years old | Culver City +12 more
238,ACC,4.0,2.1k,Building Material | 5k-10k Employees | Public | 87 years old | Mumbai +198 more
239,JK Cement,4.1,2.1k,Building Material | 1k-5k Employees | Public | 49 years old | Gurgaon/Gurugram +204 more
240,Reliance Digital,4.2,2k,Retail | 5k-10k Employees | 16 years old | Mumbai +275 more
241,Torrent Pharmaceuticals,3.9,2k,Pharma | 10k-50k Employees | Public | 52 years old | Ahmedabad +90 more
242,Bajaj Electricals,4.1,2k,Consumer Electronics & Appliances | 1k-5k Employees | Public | 85 years old | Mumbai +180 more
243,Simplex Infrastructures,3.3,2k,Engineering & Construction | 1k-5k Employees | Public | 99 years old | Kolkata +128 more
244,IndiGo,3.6,2k,Aviation | 10k-50k Employees | Fortune India 500 | 17 years old | Gurgaon/Gurugram +81 more
245,Marpu Foundation,4.9,2k,Non-Profit | 11-50 Employees | 7 years old | Hyderabad/Secunderabad +39 more
